school,conf,rk,w,l,wl,srs,sos,pts_for,pts_vs,pts_total,ap_pre,ap_high,ap_final,pts_diff,ncaa_result,ncaa_numeric,season,coaches,year
dartmouth,Ivy,88,11.0,9.0,0.55,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1929-30,Dolly Stark (11-9),1929.0
dartmouth,Ivy,89,13.0,6.0,0.684,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1928-29,Dolly Stark (13-6),1928.0
dartmouth,Ivy,90,19.0,8.0,0.704,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1927-28,Leonard Wachter (19-8),1927.0
dartmouth,Ivy,91,17.0,6.0,0.739,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1926-27,Leonard Wachter (17-6),1926.0
dartmouth,Ivy,92,11.0,7.0,0.611,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1925-26,Leonard Wachter (11-7),1925.0
dartmouth,Ivy,93,12.0,5.0,0.706,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1924-25,Leonard Wachter (12-5),1924.0
dartmouth,Ivy,94,12.0,9.0,0.571,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1923-24,W.A. Zahn (12-9),1923.0
dartmouth,Ivy,95,14.0,7.0,0.667,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1922-23,W.A. Zahn (14-7),1922.0
dartmouth,Ivy,96,13.0,7.0,0.65,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1921-22,W.A. Zahn (13-7),1921.0
dartmouth,Ivy,97,13.0,9.0,0.591,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1920-21,W.A. Zahn (13-9),1920.0
dartmouth,Ivy,98,5.0,20.0,0.2,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1919-20,W.A. Zahn (5-20),1919.0
dartmouth,Ivy,99,0.0,26.0,0.0,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1917-18,Fred Walker (0-26),1917.0
dartmouth,Ivy,100,10.0,12.0,0.455,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1916-17,J.A. Pelletier (10-12),1916.0
dartmouth,Ivy,101,11.0,12.0,0.478,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1915-16,P.W. Loudon (11-12),1915.0
dartmouth,Ivy,102,6.0,11.0,0.353,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1914-15,P.W. Loudon (6-11),1914.0
dartmouth,Ivy,103,4.0,13.0,0.235,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1913-14,C.A. Reed (4-13),1913.0
dartmouth,Ivy,104,4.0,8.0,0.333,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1912-13,James Mullen (4-8),1912.0
dartmouth,Ivy,105,9.0,5.0,0.643,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1911-12,Francis Brady (9-5),1911.0
dartmouth,Ind,106,5.0,6.0,0.455,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1910-11,Tom Keady (5-6),1910.0
dartmouth,Ind,107,6.0,4.0,0.6,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1909-10,Benjamin Lang (6-4),1909.0
dartmouth,Ind,108,11.0,5.0,0.688,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1908-09,Henry Lane (11-5),1908.0
dartmouth,Ind,109,11.0,4.0,0.733,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1907-08,Henry Lane (11-4),1907.0
dartmouth,Ind,110,13.0,4.0,0.765,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1906-07,Henry Lane (13-4),1906.0
dartmouth,Ind,111,16.0,2.0,0.889,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1905-06,No coach,1905.0
dartmouth,Ind,112,20.0,10.0,0.667,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1904-05,No coach,1904.0
dartmouth,Ind,113,8.0,6.0,0.571,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1903-04,No coach,1903.0
dartmouth,Ind,114,7.0,9.0,0.438,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1902-03,No coach,1902.0
dartmouth,Ind,115,11.0,5.0,0.688,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1901-02,No coach,1901.0
dartmouth,Ind,116,11.0,8.0,0.579,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1900-01,No coach,1900.0
dartmouth,Ind,117,22.0,4.0,0.846,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1899-00,Unknown,1899.0
davidson,A-10,1,17.0,15.0,0.531,6.7,4.52,73.8,71.6,145.39999999999998,30.0,30.0,30.0,2.200000000000003,NA,0.0,2016-17,Bob McKillop (17-15),2016.0
davidson,A-10,2,20.0,13.0,0.606,5.74,5.14,79.0,78.1,157.1,30.0,30.0,30.0,0.9000000000000057,NA,0.0,2015-16,Bob McKillop (20-13),2015.0
davidson,A-10,3,24.0,8.0,0.75,11.97,3.19,79.0,69.4,148.4,30.0,24.0,30.0,9.599999999999994,Lost Second Round,2.0,2014-15,Bob McKillop (24-8),2014.0
davidson,Southern,4,20.0,13.0,0.606,0.81,-3.73,78.5,72.8,151.3,30.0,30.0,30.0,5.700000000000003,NA,0.0,2013-14,Bob McKillop (20-13),2013.0
davidson,Southern,5,26.0,8.0,0.765,7.27,-3.45,73.2,62.1,135.3,30.0,30.0,30.0,11.100000000000001,Lost Second Round,2.0,2012-13,Bob McKillop (26-8),2012.0
davidson,Southern,6,25.0,8.0,0.758,7.26,-1.68,77.9,67.8,145.7,30.0,30.0,30.0,10.100000000000009,Lost Second Round,2.0,2011-12,Bob McKillop (25-8),2011.0
davidson,Southern,7,18.0,15.0,0.545,-0.39,-2.17,72.5,68.7,141.2,30.0,30.0,30.0,3.799999999999997,NA,0.0,2010-11,Bob McKillop (18-15),2010.0
davidson,Southern,8,16.0,15.0,0.516,-2.26,-1.26,72.3,71.0,143.3,30.0,30.0,30.0,1.2999999999999972,NA,0.0,2009-10,Bob McKillop (16-15),2009.0
davidson,Southern,9,27.0,8.0,0.771,8.26,-3.33,77.8,65.9,143.7,20.0,20.0,30.0,11.899999999999991,NA,0.0,2008-09,Bob McKillop (27-8),2008.0
davidson,Southern,10,29.0,7.0,0.806,13.93,1.66,77.9,63.2,141.10000000000002,30.0,23.0,23.0,14.700000000000003,Lost Regional Final,16.0,2007-08,Bob McKillop (29-7),2007.0
davidson,Southern,11,29.0,5.0,0.853,8.31,-2.26,81.3,68.7,150.0,30.0,30.0,30.0,12.599999999999994,Lost First Round,1.0,2006-07,Bob McKillop (29-5),2006.0
davidson,Southern,12,20.0,11.0,0.645,1.89,-3.04,77.5,68.9,146.4,30.0,30.0,30.0,8.599999999999994,Lost First Round,1.0,2005-06,Bob McKillop (20-11),2005.0
davidson,Southern,13,23.0,9.0,0.719,1.64,-1.08,72.4,65.7,138.10000000000002,30.0,30.0,30.0,6.700000000000003,NA,0.0,2004-05,Bob McKillop (23-9),2004.0
davidson,Southern,14,17.0,12.0,0.586,-1.76,-0.99,73.1,70.8,143.89999999999998,30.0,30.0,30.0,2.299999999999997,NA,0.0,2003-04,Bob McKillop (17-12),2003.0
davidson,Southern,15,17.0,10.0,0.63,0.21,-2.25,80.7,71.1,151.8,30.0,30.0,30.0,9.600000000000009,NA,0.0,2002-03,Bob McKillop (17-10),2002.0
davidson,Southern,16,21.0,10.0,0.677,0.6,0.71,70.7,66.0,136.7,30.0,30.0,30.0,4.700000000000003,Lost First Round,1.0,2001-02,Bob McKillop (21-10),2001.0
davidson,Southern,17,15.0,17.0,0.469,-8.76,-3.65,69.0,69.9,138.9,30.0,30.0,30.0,-0.9000000000000057,NA,0.0,2000-01,Bob McKillop (15-17),2e3
davidson,Southern,18,15.0,13.0,0.536,-2.73,-2.69,73.9,70.5,144.4,30.0,30.0,30.0,3.4000000000000057,NA,0.0,1999-00,Bob McKillop (15-13),1999.0
davidson,Southern,19,16.0,11.0,0.593,-1.47,-5.64,76.2,68.3,144.5,30.0,30.0,30.0,7.900000000000006,NA,0.0,1998-99,Bob McKillop (16-11),1998.0
davidson,Southern,20,20.0,10.0,0.667,-0.71,-3.74,71.3,66.2,137.5,30.0,30.0,30.0,5.099999999999994,Lost First Round,1.0,1997-98,Bob McKillop (20-10),1997.0
davidson,Southern,21,18.0,10.0,0.643,-0.01,-3.97,75.2,68.3,143.5,30.0,30.0,30.0,6.900000000000006,NA,0.0,1996-97,Bob McKillop (18-10),1996.0
davidson,Southern,22,25.0,5.0,0.833,9.47,-4.9,84.3,68.2,152.5,30.0,30.0,30.0,16.099999999999994,NA,0.0,1995-96,Bob McKillop (25-5),1995.0
davidson,Southern,23,14.0,13.0,0.519,-5.08,-4.13,74.2,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1994-95,Bob McKillop (14-13),1994.0
davidson,Southern,24,22.0,8.0,0.733,1.45,-2.91,76.5,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1993-94,Bob McKillop (22-8),1993.0
davidson,Southern,25,14.0,14.0,0.5,-4.5,-2.78,74.2,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1992-93,Bob McKillop (14-14),1992.0
davidson,Big South,26,11.0,17.0,0.393,-12.06,-6.74,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1991-92,Bob McKillop (11-17),1991.0
davidson,Big South,27,10.0,19.0,0.345,-12.6,-7.93,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1990-91,Bob McKillop (10-19),1990.0
davidson,Ind,28,4.0,24.0,0.143,-16.65,-4.61,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1989-90,Bob McKillop (4-24),1989.0
davidson,Ind,29,7.0,24.0,0.226,-14.79,-5.4,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1988-89,Bobby Hussey (7-24),1988.0
davidson,Southern,30,15.0,13.0,0.536,-6.68,-4.36,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1987-88,Bobby Hussey (15-13),1987.0
davidson,Southern,31,20.0,10.0,0.667,-0.19,-5.31,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1986-87,Bobby Hussey (20-10),1986.0
davidson,Southern,32,20.0,11.0,0.645,0.4,-3.26,NA,NA,NA,30.0,30.0,30.0,NA,Lost First Round,1.0,1985-86,Bobby Hussey (20-11),1985.0
davidson,Southern,33,10.0,19.0,0.345,-3.33,-0.22,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1984-85,Bobby Hussey (10-19),1984.0
davidson,Southern,34,9.0,19.0,0.321,-5.86,-0.5,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1983-84,Bobby Hussey (9-19),1983.0
davidson,Southern,35,13.0,15.0,0.464,-4.77,-1.51,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1982-83,Bobby Hussey (13-15),1982.0
davidson,Southern,36,14.0,15.0,0.483,-2.5,-0.46,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1981-82,Bobby Hussey (14-15),1981.0
davidson,Southern,37,13.0,14.0,0.481,-4.05,-0.74,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1980-81,Eddie Biedenbach (13-14),1980.0
davidson,Southern,38,8.0,18.0,0.308,-9.26,-2.93,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1979-80,Eddie Biedenbach (8-18),1979.0
davidson,Southern,39,8.0,19.0,0.296,-7.27,1.27,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1978-79,Eddie Biedenbach (8-19),1978.0
davidson,Southern,40,9.0,18.0,0.333,-9.79,-0.87,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1977-78,Dave Pritchett (9-18),1977.0
davidson,Southern,41,5.0,22.0,0.185,-10.55,0.13,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1976-77,Dave Pritchett (5-22),1976.0
davidson,Southern,42,5.0,21.0,0.192,-9.56,0.6,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1975-76,Bo Brickels (5-21),1975.0
davidson,Southern,43,7.0,19.0,0.269,-6.26,2.26,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1974-75,Bo Brickels (7-19),1974.0
davidson,Southern,44,18.0,9.0,0.667,3.31,1.27,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1973-74,Terry Holland (18-9),1973.0
davidson,Southern,45,18.0,9.0,0.667,2.43,-0.65,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1972-73,Terry Holland (18-9),1972.0
davidson,Southern,46,19.0,9.0,0.679,4.52,-1.79,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1971-72,Terry Holland (19-9),1971.0
davidson,Southern,47,15.0,11.0,0.577,0.15,-4.13,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1970-71,Terry Holland (15-11),1970.0
davidson,Southern,48,22.0,5.0,0.815,7.41,-4.37,NA,NA,NA,5.0,4.0,15.0,NA,Lost First Round,1.0,1969-70,Terry Holland (22-5),1969.0
davidson,Southern,49,27.0,3.0,0.9,13.29,-0.21,NA,NA,NA,6.0,2.0,5.0,NA,Lost Regional Final,16.0,1968-69,Lefty Driesell (27-3),1968.0
davidson,Southern,50,24.0,5.0,0.828,9.24,-2.38,NA,NA,NA,10.0,6.0,8.0,NA,Lost Regional Final,16.0,1967-68,Lefty Driesell (24-5),1967.0
davidson,Southern,51,15.0,12.0,0.556,-0.06,-3.69,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1966-67,Lefty Driesell (15-12),1966.0
davidson,Southern,52,21.0,7.0,0.75,7.86,-3.1,NA,NA,NA,30.0,30.0,30.0,NA,Lost Regional Semifinal,8.0,1965-66,Lefty Driesell (21-7),1965.0
davidson,Southern,53,24.0,2.0,0.923,12.21,-2.06,NA,NA,NA,4.0,4.0,6.0,NA,NA,0.0,1964-65,Lefty Driesell (24-2),1964.0
davidson,Southern,54,22.0,4.0,0.846,13.58,-0.28,NA,NA,NA,30.0,3.0,10.0,NA,NA,0.0,1963-64,Lefty Driesell (22-4),1963.0
davidson,Southern,55,20.0,7.0,0.741,4.52,-2.08,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1962-63,Lefty Driesell (20-7),1962.0
davidson,Southern,56,14.0,11.0,0.56,-11.01,-5.3,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1961-62,Lefty Driesell (14-11),1961.0
davidson,Southern,57,9.0,14.0,0.391,-10.4,-4.09,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1960-61,Lefty Driesell (9-14),1960.0
davidson,Southern,58,5.0,19.0,0.208,-21.66,-2.46,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1959-60,Tom Scott (5-19),1959.0
davidson,Southern,59,9.0,15.0,0.375,-9.63,-2.91,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1958-59,Tom Scott (9-15),1958.0
davidson,Southern,60,9.0,15.0,0.375,-17.22,-6.93,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1957-58,Tom Scott (9-15),1957.0
davidson,Southern,61,7.0,20.0,0.259,-16.89,-7.47,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1956-57,Tom Scott (7-20),1956.0
davidson,Southern,62,10.0,15.0,0.4,-21.54,-15.1,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1955-56,Tom Scott (10-15),1955.0
davidson,Southern,63,8.0,13.0,0.381,-27.77,-11.38,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1954-55,Danny Miller (8-13),1954.0
davidson,Southern,64,7.0,15.0,0.318,-26.7,-12.81,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1953-54,Danny Miller (7-15),1953.0
davidson,Southern,65,4.0,16.0,0.2,-19.69,-4.43,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1952-53,Danny Miller (4-16),1952.0
davidson,Southern,66,7.0,18.0,0.28,-17.09,-9.0,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1951-52,Boydson Baird (7-18),1951.0
davidson,Southern,67,7.0,19.0,0.269,-21.03,-14.93,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1950-51,Boydson Baird (7-19),1950.0
davidson,Southern,68,10.0,16.0,0.385,-17.03,-12.87,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1949-50,Boydson Baird (10-16),1949.0
davidson,Southern,69,18.0,8.0,0.692,NA,NA,56.1,48.7,104.80000000000001,30.0,30.0,30.0,7.399999999999999,NA,0.0,1948-49,Bo Shepard (18-8),1948.0
davidson,Southern,70,19.0,9.0,0.679,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1947-48,Bo Shepard (19-9),1947.0
davidson,Southern,71,17.0,8.0,0.68,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1946-47,Bo Shepard (17-8),1946.0
davidson,Southern,72,13.0,12.0,0.52,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1945-46,Bo Shepard (13-12),1945.0
davidson,Southern,73,9.0,9.0,0.5,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1944-45,Bo Shepard (9-9),1944.0
davidson,Southern,74,16.0,7.0,0.696,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1943-44,Bo Shepard (16-7),1943.0
davidson,Southern,75,18.0,6.0,0.75,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1942-43,Bo Shepard (18-6),1942.0
davidson,Southern,76,12.0,13.0,0.48,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1941-42,Bo Shepard (12-13),1941.0
davidson,Southern,77,11.0,12.0,0.478,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1940-41,Bo Shepard (11-12),1940.0
davidson,Southern,78,8.0,13.0,0.381,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1939-40,Bo Shepard (8-13),1939.0
davidson,Southern,79,19.0,10.0,0.655,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1938-39,Bo Shepard (19-10),1938.0
davidson,Southern,80,10.0,12.0,0.455,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1937-38,Bo Shepard (10-12),1937.0
davidson,Southern,81,13.0,10.0,0.565,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1936-37,Red Laird (13-10),1936.0
davidson,Ind,82,4.0,15.0,0.211,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1935-36,Red Laird (4-15),1935.0
davidson,Ind,83,13.0,10.0,0.565,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1934-35,Red Laird (13-10),1934.0
davidson,Ind,84,6.0,13.0,0.316,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1933-34,Red Laird (6-13),1933.0
davidson,Ind,85,4.0,14.0,0.222,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1932-33,Red Laird (4-14),1932.0
davidson,Ind,86,3.0,12.0,0.2,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1931-32,Red Laird (3-12),1931.0
davidson,Ind,87,8.0,8.0,0.5,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1930-31,Monk Younger (8-8),1930.0
davidson,Ind,88,12.0,7.0,0.632,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1929-30,Monk Younger (12-7),1929.0
davidson,Ind,89,10.0,8.0,0.556,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1928-29,Monk Younger (10-8),1928.0
davidson,Ind,90,9.0,7.0,0.563,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1927-28,Monk Younger (9-7),1927.0
davidson,Ind,91,10.0,8.0,0.556,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1926-27,Monk Younger (10-8),1926.0
davidson,Ind,92,8.0,9.0,0.471,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1925-26,Monk Younger (8-9),1925.0
davidson,Ind,93,18.0,6.0,0.75,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1924-25,Monk Younger (18-6),1924.0
davidson,Ind,94,10.0,9.0,0.526,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1923-24,Monk Younger (10-9),1923.0
davidson,Ind,95,9.0,9.0,0.5,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1922-23,H.M. Grey (9-9),1922.0
davidson,Ind,96,10.0,3.0,0.769,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1921-22,Fred Hengeveld (10-3),1921.0
davidson,Ind,97,7.0,7.0,0.5,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1920-21,Fred Hengeveld (7-7),1920.0
davidson,Ind,98,3.0,10.0,0.231,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1919-20,Fred Hengeveld (3-10),1919.0
davidson,Ind,99,3.0,6.0,0.333,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1918-19,No coach,1918.0
davidson,Ind,100,7.0,5.0,0.583,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1917-18,William Fetzer (7-5),1917.0
davidson,Ind,101,11.0,6.0,0.647,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1916-17,William Fetzer (11-6),1916.0
davidson,Ind,102,11.0,8.0,0.579,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1915-16,No coach,1915.0
davidson,Ind,103,3.0,3.0,0.5,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1914-15,No coach,1914.0
davidson,Ind,104,0.0,1.0,0.0,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1912-13,W.T. Cook (0-1),1912.0
davidson,Ind,105,4.0,2.0,0.667,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1911-12,No coach,1911.0
davidson,Ind,106,0.0,2.0,0.0,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1910-11,No coach,1910.0
davidson,Ind,107,2.0,3.0,0.4,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1909-10,No coach,1909.0
davidson,Ind,108,1.0,2.0,0.333,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1908-09,J.W. Rhea (1-2),1908.0
dayton,A-10,1,24.0,7.0,0.774,13.18,3.98,76.5,66.5,143.0,30.0,30.0,30.0,10.0,Playing First Round,0.0,2016-17,Archie Miller (24-7),2016.0
dayton,A-10,2,25.0,8.0,0.758,11.34,4.76,72.5,65.9,138.4,30.0,15.0,30.0,6.599999999999994,Lost First Round,1.0,2015-16,Archie Miller (25-8),2015.0
dayton,A-10,3,27.0,9.0,0.75,10.98,4.06,67.8,60.8,128.6,30.0,22.0,30.0,7.0,Lost Third Round,4.0,2014-15,Archie Miller (27-9),2014.0
dayton,A-10,4,26.0,11.0,0.703,10.55,5.34,72.2,67.0,139.2,30.0,25.0,30.0,5.200000000000003,Lost Regional Final,16.0,2013-14,Archie Miller (26-11),2013.0
dayton,A-10,5,17.0,14.0,0.548,9.36,4.27,71.8,66.7,138.5,30.0,30.0,30.0,5.099999999999994,NA,0.0,2012-13,Archie Miller (17-14),2012.0
dayton,A-10,6,20.0,13.0,0.606,8.48,4.3,71.8,67.6,139.39999999999998,30.0,30.0,30.0,4.200000000000003,NA,0.0,2011-12,Archie Miller (20-13),2011.0
dayton,A-10,7,22.0,14.0,0.611,4.87,3.2,67.0,65.4,132.4,30.0,30.0,30.0,1.5999999999999943,NA,0.0,2010-11,Brian Gregory (22-14),2010.0
dayton,A-10,8,25.0,12.0,0.676,13.25,5.61,70.2,62.3,132.5,21.0,18.0,30.0,7.900000000000006,NA,0.0,2009-10,Brian Gregory (25-12),2009.0
dayton,A-10,9,27.0,8.0,0.771,7.16,1.76,66.8,61.4,128.2,30.0,25.0,30.0,5.399999999999999,Lost Second Round,2.0,2008-09,Brian Gregory (27-8),2008.0
dayton,A-10,10,23.0,11.0,0.676,7.98,4.06,68.1,64.2,132.3,30.0,14.0,30.0,3.8999999999999915,NA,0.0,2007-08,Brian Gregory (23-11),2007.0
dayton,A-10,11,19.0,12.0,0.613,2.75,1.97,66.9,66.2,133.10000000000002,30.0,30.0,30.0,0.7000000000000028,NA,0.0,2006-07,Brian Gregory (19-12),2006.0
dayton,A-10,12,14.0,17.0,0.452,3.07,2.04,63.4,61.8,125.19999999999999,30.0,30.0,30.0,1.6000000000000014,NA,0.0,2005-06,Brian Gregory (14-17),2005.0
dayton,A-10,13,18.0,11.0,0.621,3.52,0.38,64.7,61.6,126.30000000000001,30.0,30.0,30.0,3.1000000000000014,NA,0.0,2004-05,Brian Gregory (18-11),2004.0
dayton,A-10,14,24.0,9.0,0.727,7.11,3.57,68.0,64.5,132.5,30.0,23.0,30.0,3.5,Lost First Round,1.0,2003-04,Brian Gregory (24-9),2003.0
dayton,A-10,15,24.0,6.0,0.8,11.0,5.17,72.7,66.9,139.60000000000002,30.0,16.0,16.0,5.799999999999997,Lost First Round,1.0,2002-03,Oliver Purnell (24-6),2002.0
dayton,A-10,16,21.0,11.0,0.656,12.73,3.38,73.1,63.8,136.89999999999998,30.0,30.0,30.0,9.299999999999997,NA,0.0,2001-02,Oliver Purnell (21-11),2001.0
dayton,A-10,17,21.0,13.0,0.618,9.73,6.14,71.1,67.5,138.6,30.0,24.0,30.0,3.5999999999999943,NA,0.0,2000-01,Oliver Purnell (21-13),2e3
dayton,A-10,18,22.0,9.0,0.71,9.95,3.46,71.4,64.9,136.3,30.0,30.0,30.0,6.5,Lost First Round,1.0,1999-00,Oliver Purnell (22-9),1999.0
dayton,A-10,19,11.0,17.0,0.393,5.21,5.42,67.9,68.1,136.0,30.0,30.0,30.0,-0.19999999999998863,NA,0.0,1998-99,Oliver Purnell (11-17),1998.0
dayton,A-10,20,21.0,12.0,0.636,8.8,4.04,76.1,71.3,147.39999999999998,30.0,30.0,30.0,4.799999999999997,NA,0.0,1997-98,Oliver Purnell (21-12),1997.0
dayton,A-10,21,13.0,14.0,0.481,3.54,2.32,70.5,69.3,139.8,30.0,30.0,30.0,1.2000000000000028,NA,0.0,1996-97,Oliver Purnell (13-14),1996.0
dayton,A-10,22,15.0,14.0,0.517,-0.16,-0.64,70.5,70.0,140.5,30.0,30.0,30.0,0.5,NA,0.0,1995-96,Oliver Purnell (15-14),1995.0
dayton,GMWC,23,7.0,20.0,0.259,-6.56,4.29,66.7,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1994-95,Oliver Purnell (7-20),1994.0
dayton,GMWC,24,6.0,21.0,0.222,-3.32,4.42,72.0,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1993-94,Jim O'Brien (6-21),1993.0
